DateKey	FullDate	Year	Quarter	MonthNumber	MonthName	YearMonth	DayOfMonth	DayName	IsWeekend	FiscalYearSA	SeasonSouthernAfrica
20090302	2009-03-02	2009	1	3	March	2009-03	2	Monday	0	FY2008/09	Autumn
20090303	2009-03-03	2009	1	3	March	2009-03	3	Tuesday	0	FY2008/09	Autumn
20090304	2009-03-04	2009	1	3	March	2009-03	4	Wednesday	0	FY2008/09	Autumn
20090305	2009-03-05	2009	1	3	March	2009-03	5	Thursday	0	FY2008/09	Autumn
20090306	2009-03-06	2009	1	3	March	2009-03	6	Friday	0	FY2008/09	Autumn
20090307	2009-03-07	2009	1	3	March	2009-03	7	Saturday	1	FY2008/09	Autumn
20090308	2009-03-08	2009	1	3	March	2009-03	8	Sunday	1	FY2008/09	Autumn
20090309	2009-03-09	2009	1	3	March	2009-03	9	Monday	0	FY2008/09	Autumn
20090310	2009-03-10	2009	1	3	March	2009-03	10	Tuesday	0	FY2008/09	Autumn
20090311	2009-03-11	2009	1	3	March	2009-03	11	Wednesday	0	FY2008/09	Autumn
20090312	2009-03-12	2009	1	3	March	2009-03	12	Thursday	0	FY2008/09	Autumn
20090313	2009-03-13	2009	1	3	March	2009-03	13	Friday	0	FY2008/09	Autumn
20090314	2009-03-14	2009	1	3	March	2009-03	14	Saturday	1	FY2008/09	Autumn
20090315	2009-03-15	2009	1	3	March	2009-03	15	Sunday	1	FY2008/09	Autumn
20090316	2009-03-16	2009	1	3	March	2009-03	16	Monday	0	FY2008/09	Autumn
20090317	2009-03-17	2009	1	3	March	2009-03	17	Tuesday	0	FY2008/09	Autumn
20090318	2009-03-18	2009	1	3	March	2009-03	18	Wednesday	0	FY2008/09	Autumn
20090319	2009-03-19	2009	1	3	March	2009-03	19	Thursday	0	FY2008/09	Autumn
20090320	2009-03-20	2009	1	3	March	2009-03	20	Friday	0	FY2008/09	Autumn
20090321	2009-03-21	2009	1	3	March	2009-03	21	Saturday	1	FY2008/09	Autumn
20090322	2009-03-22	2009	1	3	March	2009-03	22	Sunday	1	FY2008/09	Autumn
20090323	2009-03-23	2009	1	3	March	2009-03	23	Monday	0	FY2008/09	Autumn
20090324	2009-03-24	2009	1	3	March	2009-03	24	Tuesday	0	FY2008/09	Autumn
20090325	2009-03-25	2009	1	3	March	2009-03	25	Wednesday	0	FY2008/09	Autumn
20090326	2009-03-26	2009	1	3	March	2009-03	26	Thursday	0	FY2008/09	Autumn
20090327	2009-03-27	2009	1	3	March	2009-03	27	Friday	0	FY2008/09	Autumn
20090328	2009-03-28	2009	1	3	March	2009-03	28	Saturday	1	FY2008/09	Autumn
20090329	2009-03-29	2009	1	3	March	2009-03	29	Sunday	1	FY2008/09	Autumn
20090330	2009-03-30	2009	1	3	March	2009-03	30	Monday	0	FY2008/09	Autumn
20090331	2009-03-31	2009	1	3	March	2009-03	31	Tuesday	0	FY2008/09	Autumn
20090401	2009-04-01	2009	2	4	April	2009-04	1	Wednesday	0	FY2009/10	Autumn
20090402	2009-04-02	2009	2	4	April	2009-04	2	Thursday	0	FY2009/10	Autumn
20090403	2009-04-03	2009	2	4	April	2009-04	3	Friday	0	FY2009/10	Autumn
20090404	2009-04-04	2009	2	4	April	2009-04	4	Saturday	1	FY2009/10	Autumn
