YearMonth,Year,FiscalYearSA,LocationDescription,ProductName,EligibilityStatus,LitresIssued,TransactionCount
2019-06,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,6481.00,44
2019-06,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.43,7
2019-06,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,2.27,42
2019-06,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.28,6
2019-06,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,734321.70,353
2019-06,2019,FY2019/20,Ultra City,DIESEL,Ineligible,119968.70,46
2019-06,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,185228.00,395
2019-06,2019,FY2019/20,DB-269,DIESEL,Ineligible,55241.00,147
2019-06,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,62525.30,252
2019-06,2019,FY2019/20,ST-263,OCA-46SSYN,Eligible - Mining,11.68,12
2019-06,2019,FY2019/20,ST-263,OCA-46SSYN,Ineligible,6.69,5
2019-06,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,103.55,150
2019-06,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,27838.02,375
2019-06,2019,FY2019/20,CON-141,DIESEL,Ineligible,5182.00,24
2019-06,2019,FY2019/20,DB-MCCA-100,DIESEL,Eligible - Mining,553909.00,1061
2019-06,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,4397.00,167
2019-06,2019,FY2019/20,Nitro+,HYDRAULIC,Ineligible,58.00,4
2019-06,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,2.67,45
2019-06,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.29,5
2019-06,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,2.16,40
2019-06,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,29.68,22
2019-06,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,14506.42,114
2019-06,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,199673.30,453
2019-06,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,240567.00,758
2019-06,2019,FY2019/20,CON-074,DIESEL,Ineligible,41545.00,116
2019-06,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3210632.39,1738
2019-06,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,117.00,7
2019-06,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,13788.00,89
2019-06,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,7.19,32
2019-06,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,1167.02,213
2019-06,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,172.54,5
2019-06,2019,FY2019/20,Stores LDV,PETROL,Ineligible,1919.12,72
2019-07,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,143880.00,305
2019-07,2019,FY2019/20,DB-269,DIESEL,Ineligible,50876.00,118
2019-07,2019,FY2019/20,DB-270,DIESEL,Ineligible,69738.30,219
2019-07,2019,FY2019/20,ST-263,OCA-46SSYN,Eligible - Mining,4.03,3
2019-07,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,31.24,153
2019-07,2019,FY2019/20,Ultra City,DIESEL,Ineligible,222226.70,102
2019-07,2019,FY2019/20,CON-074,DIESEL,Ineligible,31647.00,81
2019-07,2019,FY2019/20,CON-141,DIESEL,Ineligible,4772.00,27
2019-07,2019,FY2019/20,DB-MCCA-100,DIESEL,Eligible - Mining,421288.00,811
2019-07,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,3789.00,150
2019-07,2019,FY2019/20,Nitro+,HYDRAULIC,Ineligible,18.00,3
2019-07,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,4.49,80
2019-07,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.63,9
2019-07,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,5.97,12
2019-07,2019,FY2019/20,CHP-006,DIESEL,Ineligible,161.90,3
2019-07,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,167886.00,391
2019-07,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3339728.89,1750
2019-07,2019,FY2019/20,Nitro+,DIESEL,Ineligible,204345.57,848
2019-07,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,473.00,9
2019-07,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,9752.00,75
2019-07,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,6.24,51
2019-07,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.37,7
2019-07,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,2.59,46
2019-07,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.20,4
2019-07,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,1285.36,227
2019-07,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,11104.82,127
2019-07,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,104.05,2
2019-07,2019,FY2019/20,Stores LDV,PETROL,Ineligible,2900.86,110
2019-07,2019,FY2019/20,CMND-001,DIESEL,Ineligible,52400.40,183
2019-07,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,224915.00,729
2019-07,2019,FY2019/20,CON-141,DIESEL,Eligible - Mining,46276.00,101
2019-07,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,232478.80,509
2019-07,2019,FY2019/20,DB-MCCA-100,DIESEL,Ineligible,40669.00,159
2019-07,2019,FY2019/20,Nitro+,ENGINE,Ineligible,57.00,5
2019-07,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,1053.00,38
2019-07,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,3987.00,126
2019-07,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,6111.00,68
2019-07,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.43,8
2019-07,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,22084.05,319
2019-07,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,932469.70,408
2019-08,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,394235.00,773
2019-08,2019,FY2019/20,DB-270,DIESEL,Ineligible,14354.00,30
2019-08,2019,FY2019/20,DB-MCCA-126,DIESEL,Ineligible,44087.00,150
2019-08,2019,FY2019/20,Nitro+,DIESEL,Ineligible,84915.36,795
2019-08,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,5019.00,126
2019-08,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,6.49,78
2019-08,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.23,3
2019-08,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,57.89,183
2019-08,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,2103.62,277
2019-08,2019,FY2019/20,Stores LDV,PETROL,Ineligible,2167.79,90
2019-08,2019,FY2019/20,Ultra City,DIESEL,Ineligible,308745.30,168
2019-08,2019,FY2019/20,CMND-001,DIESEL,Ineligible,40040.40,100
2019-08,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,59187.00,134
2019-08,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,2005.00,50
2019-08,2019,FY2019/20,Nitro+,HYDRAULIC,Ineligible,22.00,3
2019-08,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,13097.00,106
2019-08,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,5.92,83
2019-08,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.37,6
2019-08,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,174.11,10
2019-08,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,26364.01,339
2019-08,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,1604935.80,602
2019-08,2019,FY2019/20,CHP-006,DIESEL,Eligible - Mining,50950.60,132
2019-08,2019,FY2019/20,CHP-006,DIESEL,Ineligible,19710.20,45
2019-08,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,110456.50,258
2019-08,2019,FY2019/20,DB-269,DIESEL,Ineligible,117626.00,314
2019-08,2019,FY2019/20,DB-MCCA-126,DIESEL,Eligible - Mining,362585.00,722
2019-08,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3455541.83,1748
2019-08,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,8710.00,60
2019-08,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.20,2
2019-08,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,2.62,43
2019-08,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,9426.73,101
2019-08,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,195.20,7
2019-08,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,228461.00,745
2019-08,2019,FY2019/20,CON-074,DIESEL,Ineligible,39415.00,119
2019-08,2019,FY2019/20,CON-141,DIESEL,Eligible - Mining,43234.00,94
2019-08,2019,FY2019/20,CON-141,DIESEL,Ineligible,5516.00,29
2019-08,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,3942.00,167
2019-08,2019,FY2019/20,Nitro+,ENGINE,Ineligible,49.00,4
2019-08,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,1134.00,12
2019-08,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,2.60,11
2019-09,2019,FY2019/20,CMND-001,DIESEL,Ineligible,39355.10,98
2019-09,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,4834.00,46
2019-09,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.23,5
2019-09,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,21498.28,288
